Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,MOLDTKPAC,NAUKRI,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total
11/09/15,,481.8024597,16.71610451,123.1193237,54.07639313,,1036.519775,,,,279.3691101,,18.01941109,,,31.46428108,752.1676025,78.07305908,,39.46077347,,264.3286438,,360.6725464,"8,85,006"
18/09/15,,476.2718201,16.31668091,128.6131287,54.69413376,,1076.781372,,,,296.8850403,,18.80217552,,,34.58540726,782.3133545,77.45570374,,38.18785095,,263.1696167,,368.6429749,"8,91,149"
25/09/15,,465.0189819,17.52318954,129.8275604,61.10917282,,1079.454102,,,,324.9302063,,18.44637299,,,36.64289474,783.3460693,80.40006256,,39.92751694,,264.8500061,,353.7275696,"8,91,512"
02/10/15,,488.2859802,17.12326241,125.8373108,59.06586075,,1083.644165,,,,345.5950928,,18.94449615,,,35.58915329,787.6245117,81.63478851,,42.43094635,,262.6017151,,355.9648743,"8,92,865"
09/10/15,,477.866394,18.08712006,128.0059357,60.30135345,,1055.422485,,,,337.7227783,,21.16628456,,,36.57490158,786.4934082,84.38919067,,41.20044327,,271.4465332,,378.8972778,"8,98,217"
16/10/15,,477.540741,17.8691864,130.029953,62.96239471,,1029.801514,,,,345.1030273,,21.24535179,,,46.27948761,781.034668,85.62392426,,49.43205261,,265.0723572,,388.2659912,"9,01,153"
23/10/15,,504.9928284,18.22417259,127.6878662,61.34676743,,1044.87561,,,,343.9221802,,21.55371284,,,47.94507599,775.3301392,86.57372284,,55.16022491,,265.3687744,,387.5202637,"9,04,318"
30/10/15,,499.3903503,18.6151104,128.2950745,61.82195282,,1107.675781,,,,338.2147217,,20.46258545,,,47.28224564,738.9388428,82.53709412,,55.16022491,,258.8957825,,380.6218567,"9,03,006"
06/11/15,,506.9560547,18.56867981,130.2612915,61.48931503,,1082.295654,,,,341.5604858,,23.51457977,,,48.43795776,696.2529907,79.54524231,,66.192276,,248.6674652,,381.2744141,"9,02,743"
13/11/15,,506.4293518,18.48779297,127.0806503,60.01623917,,1103.341553,,,,348.3503723,,24.22618294,,,50.98731995,740.5618286,80.77997589,,71.7082901,,241.7250366,,390.5499268,"9,07,465"
20/11/15,,521.4985352,18.76714134,128.4107361,62.62977219,,1103.822998,,,,343.1349792,,24.63733101,,,52.99282837,802.4267578,79.68771362,,71.7082901,,246.2215424,,401.4567871,"9,14,622"
27/11/15,,534.2070313,19.09591293,126.8493271,67.33412933,,1101.511475,,,,367.243927,,26.59819794,,,52.95883942,800.9966431,82.20467377,,71.7082901,,247.9015808,,396.7025146,"9,16,156"
04/12/15,,522.255127,18.32527924,135.061142,64.43547821,,1088.171265,,,,382.6933899,,27.12004089,,,56.2390213,843.7376099,81.2073822,,80.57637024,,242.1450195,,390.5965271,"9,19,108"
11/12/15,,528.7578735,17.54864883,127.4565582,60.44390869,,1084.510864,,,,370.9833069,,25.32521629,,,52.39797211,829.8024902,78.02557373,,82.74034882,,238.5873566,,362.5835876,"9,09,013"
18/12/15,,555.8555298,18.50277138,138.848999,66.24119568,,1106.134766,,,,385.3503113,,26.51913261,,,57.1397934,832.4122314,84.57915497,,80.1944809,,240.8356018,,364.9141235,"9,18,382"
25/12/15,,562.9520264,19.72350883,145.4415588,73.27397919,,1124.628174,,,,423.6294861,,27.87118149,,,60.04607773,824.0906372,86.00385284,,77.94564819,,240.6132507,,379.3167725,"9,26,240"
01/01/16,,582.9533691,20.61397362,151.0221252,70.09022522,,1117.500488,,,,412.706604,,29.86367416,,,80.20305634,863.1384277,90.27792358,,83.75868988,,250.4216003,,381.0879517,"9,35,681"
08/01/16,,604.7358398,19.4374218,146.2800903,69.32991791,,1087.015381,,,,392.533783,,27.64979362,,,84.80892181,827.5374146,90.42037964,,84.81945038,,237.4508514,,372.6514893,"9,27,568"
15/01/16,,571.987793,18.89146042,147.9571381,61.96450424,,1038.036743,,,,362.5205383,,24.63733101,,,81.78366852,782.7284546,78.832901,,91.22653198,,218.9706573,,348.6936035,"9,11,638"
22/01/16,,557.6990967,17.91412163,145.9909363,59.35097122,,1041.793091,,,,348.0551758,,24.13921165,,,78.29953766,777.3612061,76.93331146,,89.1049881,,224.7766113,,323.0111694,"9,04,105"
29/01/16,,565.829895,18.4398632,153.8557892,62.48722076,,1099.247925,,,,348.1535645,,25.59404373,,,99.83318329,781.300415,92.36746216,,104.8468781,,230.8790283,,328.977356,"9,21,141"
05/02/16,,642.2053223,18.47880745,161.8651733,64.1028595,,1063.513306,,,,349.826416,,24.62151909,,,93.94415283,771.3539429,87.42853546,,100.9856567,,216.4259186,,340.7698364,"9,23,218"
12/02/16,,575.1768799,18.11691856,137.4321747,54.97924042,,951.2527466,,,,288.3238831,,21.16628456,,,80.85741425,714.0870972,77.02828979,,72.13260651,,197.8222046,,312.0577087,"8,81,949"
19/02/16,,579.2805786,18.1675415,137.8080292,60.44390869,,957.3209839,,,,306.6270447,,21.91742134,,,84.76644135,717.5831299,75.27116394,,78.49726105,,195.3268585,,307.8627625,"8,84,513"
26/02/16,,555.7070923,16.98963356,132.7070007,56.68991852,,897.6990356,,,,275.7281799,,20.12259674,,,72.23203278,710.3447266,69.52490997,,88.72311401,,189.5209198,,295.6042175,"8,74,363"
04/03/16,,605.3057251,17.6846447,137.1228333,59.96871567,,973.3580933,,,,282.3212585,,22.4392662,,,77.16082001,758.3544312,78.02557373,,80.44907379,,204.5422668,,326.1341248,"8,93,384"
11/03/16,,611.9759521,17.4652977,137.6457672,59.63608932,,967.5307617,,,,298.065918,,22.0755558,,,71.42473602,765.7404785,79.68771362,,79.81262207,,191.225647,,321.3798218,"8,90,904"
18/03/16,,635.3195801,17.68384171,131.1091766,61.82195282,,947.8815308,,,,325.4222412,,22.61321449,,,71.63718414,771.649292,79.21281433,,82.78276825,,186.2844086,,337.227417,"8,93,290"
25/03/16,,677.4605713,19.27152443,133.6947632,61.53684616,,943.0651245,,,,325.4222412,,24.45547867,,,70.02094269,751.6222534,83.33309174,,82.78276825,,184.3326263,,339.977478,"8,97,424"
01/04/16,,677.4605713,19.24741936,142.0615845,64.1028595,,981.6012573,,,,332.3105164,,24.12339783,,,63.75996017,753.5969238,88.70785522,,84.56486511,,182.0596619,,344.0791931,"9,04,058"
08/04/16,,700.9749756,18.79104042,145.2863007,64.81562805,,984.8126831,,,,327.193512,,24.85081482,,,63.07849121,781.144104,89.43417358,,91.22653198,,232.6084595,,341.6554565,"9,16,706"
15/04/16,,730.8383789,19.15903854,146.7388611,64.95818329,,994.5439453,,,,351.696106,,25.61776733,,,61.50258636,778.7744141,88.8531189,,91.22653198,,246.9874573,,374.9353943,"9,28,032"
22/04/16,,687.0899658,18.76934814,147.4942017,65.7660141,,1044.173828,,,,359.076416,,26.40843773,,,62.65256882,798.5708008,91.7099762,,85.28620148,,244.121521,,384.5371704,"9,29,857"
29/04/16,,673.0423584,19.00637627,150.1669312,66.33623505,,1021.305115,,,,348.0551758,,25.93403435,,,63.71735764,741.4031982,93.79209137,,86.09239197,,240.3414917,,378.5243835,"9,24,945"
06/05/16,,714.7073364,18.32582283,154.7280121,66.57383728,,989.9216309,,,,329.1615601,,25.07220268,,,62.14146805,714.8433228,86.9162674,,84.90431976,,243.2568054,,372.6514893,"9,22,657"
13/05/16,,750.0084839,18.43670654,167.394455,71.42074585,,1048.260986,,,,347.2678833,,26.97772026,,,62.26924133,736.7132568,93.21104431,,101.876709,,253.1639709,,386.5880432,"9,43,905"
20/05/16,,766.1691895,17.70151901,163.0367432,78.26345825,,1017.072083,,,,329.3583984,,27.0567894,,,40.76037216,740.3664551,88.70785522,,102.8950577,,236.9567108,,386.4015503,"9,38,599"
27/05/16,,755.4414063,19.01280022,167.8592682,77.0754776,,1054.34314,,,,356.9115295,,26.06845093,,,42.93254852,788.6973267,84.97941589,,101.0492935,,219.8600922,,403.927124,"9,43,954"
03/06/16,,778.4435425,18.33948326,165.4189453,78.02585602,,1109.373901,,,,352.5325012,,24.53059196,,,38.20486069,771.3199463,80.57307434,,113.5664291,,216.0553284,,398.9398499,"9,47,145"
10/06/16,,750.821228,20.31926537,165.070343,77.59819031,,1089.035278,,,,338.8051758,,24.94569588,,,37.90671539,797.4848022,82.84888458,,116.8972473,,228.4578247,,399.5923462,"9,49,844"
17/06/16,,740.8519897,20.24213409,169.1666107,81.6372757,,1080.2771,,,,337.0338745,,25.36475372,,,43.95475769,792.8441772,84.93099213,,118.5944824,,244.096817,,399.8254089,"9,53,838"
24/06/16,,746.7626343,20.11678886,162.6881104,78.02585602,,1072.005493,,,,346.9234924,,25.15522385,,,50.85463715,785.2908936,79.74991608,,114.5211258,,241.9967804,,389.8973694,"9,47,043"
01/07/16,,803.3222656,20.42211151,160.8869019,84.67849731,,1103.38916,,,,381.5125427,,25.70473862,,,51.11018372,842.4587402,93.54998779,,114.6059875,,245.5791931,,414.0882874,"9,62,916"
08/07/16,,806.7110596,20.20597267,172.5365601,86.95938873,,1091.760254,,,,385.9407349,,25.79566765,,,50.98240662,836.3864136,89.67628479,,121.0130539,,238.5873566,,403.8339539,"9,64,177"
15/07/16,,855.6116333,20.16017532,181.8446503,97.74615479,,1120.467651,,,,411.328949,,25.39242363,,,48.76764297,829.2280884,83.1394043,,126.8685226,,238.7108917,,422.8044128,"9,76,565"
22/07/16,,878.3482666,19.89020348,191.8906097,97.27097321,,1171.119263,,,,405.0802917,,25.46753693,,,49.49169159,851.4435425,85.51205444,,148.1264191,,238.0191193,,428.7239685,"9,91,690"
29/07/16,,1028.684326,19.86288452,193.3548126,98.26886749,,1167.470093,,,,446.2132263,,26.62191963,,,49.3639183,809.0861206,83.67204285,,183.003067,,242.8368073,,442.194458,"10,11,929"
05/08/16,,1003.640808,20.22445297,196.4251251,96.26081848,,1153.116333,,,,451.1333923,,25.95380402,,,48.72504807,830.4129639,82.75203705,,168.3526306,,236.413208,,443.4529419,"10,06,429"
12/08/16,,1006.799133,19.73995018,185.1424255,96.83809662,,1158.322754,,,,484.3185425,,25.72055244,,,44.08253479,833.4243164,82.50992584,,188.3961182,,230.631958,,470.2445679,"10,13,307"
19/08/16,,1010.315063,19.80744553,203.0884552,98.66614532,,1268.627441,,,,505.9297485,,24.57803154,,,43.35847473,817.4786377,88.80469513,,190.0310059,,229.7178345,,518.0975342,"10,34,567"
26/08/16,,1041.039795,31.79200745,204.846283,96.50133514,,1295.485962,,,,487.9865112,,24.06805038,,,45.61584473,828.388855,88.90154266,,178.3531342,,226.5554504,,536.9053955,"10,44,695"
02/09/16,,1106.064819,31.89668465,211.1008148,119.544281,,1279.575317,,,,473.5625305,,23.54225159,,,43.9121666,819.5026855,86.2383728,,202.2821655,,221.4906769,,532.4772339,"10,56,473"
09/09/16,,1144.516479,31.67816353,219.3175507,122.6712112,,1286.630493,,,,515.4961548,,26.15766907,,,42.63440323,816.8862305,88.61101532,,196.2733612,,214.4988403,,532.5725098,"10,60,523"
16/09/16,,1079.610718,31.8312664,217.1509399,113.7715302,,1303.465576,,,,510.6881714,,26.1884079,,,41.9917984,847.3953857,85.80257416,,193.9165649,,210.5285187,,527.5253296,"10,54,728"
23/09/16,,1119.338989,33.02070999,212.7768555,116.6578979,,1297.967529,,,,516.2892456,,25.7009964,,,40.40962982,845.2231445,84.59204865,,197.271286,,230.6944733,,521.2877808,"10,58,758"
30/09/16,,1049.417358,32.59282303,213.4718018,114.204483,,1255.052124,,,,518.5197144,,24.30902481,,,40.53791428,838.9041138,78.73307037,,191.0926208,,221.7510681,,499.2896423,"10,43,477"
07/10/16,,1075.935913,33.2039032,216.4968872,115.9363098,,1237.341309,,,,538.5942993,,24.95451355,,,44.81406021,921.8911743,79.26569366,,201.7089233,,221.1069641,,514.0502319,"10,55,457"
14/10/16,,1054.28418,33.17773438,216.0063324,116.2249603,,1201.821777,,,,526.4504395,,26.49578285,,,47.08042145,874.6956787,80.96044159,,203.8746185,,219.372818,,515.7644043,"10,51,361"
21/10/16,,1125.893921,33.13455582,215.3931274,118.2935104,,1236.07605,,,,523.9225464,,26.32013893,,,43.87330627,887.2844238,78.82991028,,260.5654297,,214.0959625,,552.0946045,"10,79,078"
28/10/16,,1073.254272,34.76236343,211.6322327,107.2771606,,1255.587402,,,,550.539978,,31.59821892,,,43.18912125,890.4439087,81.44465637,,297.4675293,,216.300827,,516.0501099,"10,81,962"
04/11/16,,987.3920288,34.00734329,212.0819092,100.1093216,,1218.948853,,,,519.9075928,,28.90648842,,,39.55439758,904.4644165,80.42781067,,312.6912842,,203.5175018,,486.5288696,"10,70,105"
11/11/16,,852.0184937,34.14604568,176.7212982,96.11649323,,1196.372192,,,,515.2978516,,27.27300453,,,39.68267822,883.012146,78.53937531,,297.4038696,,199.5289307,,459.6264648,"10,38,809"
