,Symbol,Trade Date,Trade Type,Quantity,Price,currPrice,PnL
134,DEEPAKNTR,2022-03-04,buy,6,1915.0,2306.550048828125,2349.30029296875
317,RBA,2022-03-04,buy,25,106.9,113.25,158.74999999999986
315,RBA,2022-03-04,buy,5,106.9,113.25,31.74999999999997
309,MOLDTKPAC,2022-03-07,buy,6,662.4,286.8500061035156,-2253.299963378906
310,MOLDTKPAC,2022-03-07,buy,4,661.95,286.8500061035156,-1500.3999755859377
167,DIVISLAB,2022-03-07,buy,3,4075.0,3696.39990234375,-1135.80029296875
152,POLYCAB,2022-03-07,buy,5,2185.0,5674.64990234375,17448.24951171875
263,BAJFINANCE,2022-03-07,buy,2,6210.0,7517.60009765625,2615.2001953125
287,DEVYANI,2022-03-07,buy,25,149.0,184.6999969482422,892.4999237060547
200,DMART,2022-03-28,buy,3,4001.0,4045.64990234375,133.94970703125
320,RBA,2022-03-28,buy,37,97.5,113.25,582.75
123,RELAXO,2022-03-28,buy,10,1019.0,911.7000122070312,-1072.9998779296875
319,RBA,2022-03-28,buy,1,97.5,113.25,15.75
318,RBA,2022-03-28,buy,17,97.5,113.25,267.75
295,KPITTECH,2022-04-12,buy,20,586.0,1517.699951171875,18633.9990234375
83,IONEXCHANG,2022-04-13,buy,3,1685.0,589.7000122070312,-3285.8999633789062
82,IONEXCHANG,2022-04-13,buy,1,1685.0,589.7000122070312,-1095.2999877929688
91,HAPPSTMNDS,2022-05-06,buy,2,1008.8,934.7000122070312,-148.1999755859374
311,MOLDTKPAC,2022-05-06,buy,15,730.0,286.8500061035156,-6647.249908447266
252,BERGEPAINT,2022-05-06,buy,16,675.0,585.3499755859375,-1434.400390625
92,HAPPSTMNDS,2022-05-06,buy,5,1008.85,934.7000122070312,-370.74993896484386
93,HAPPSTMNDS,2022-05-06,buy,4,1008.9,934.7000122070312,-296.7999511718749
34,LAURUSLABS,2022-05-06,buy,10,563.0,385.45001220703125,-1775.4998779296875
305,GARFIBRES,2022-05-06,buy,4,2920.0,3365.550048828125,1782.2001953125
296,KPITTECH,2022-05-06,buy,20,531.0,1517.699951171875,19733.9990234375
264,BAJFINANCE,2022-05-06,buy,3,5980.0,7517.60009765625,4612.80029296875
281,BORORENEW,2022-05-06,buy,19,633.0,430.20001220703125,-3853.1997680664062
288,DEVYANI,2022-05-06,buy,35,162.0,184.6999969482422,794.4998931884766
67,NAUKRI,2022-05-06,buy,3,3901.45,5221.5498046875,3960.2994140625005
321,RBA,2022-05-06,buy,60,94.0,113.25,1155.0
230,SONACOMS,2022-05-10,buy,25,570.0,553.0999755859375,-422.5006103515625
201,DMART,2022-05-11,buy,3,3333.0,4045.64990234375,2137.94970703125
202,DMART,2022-05-11,buy,1,3333.0,4045.64990234375,712.64990234375
253,BERGEPAINT,2022-05-19,buy,20,627.0,585.3499755859375,-833.00048828125
