Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,NAUKRI,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total,,
29/01/16,,565.829834,18.3046608,153.8557892,63.94278717,,1099.248047,,,,348.1535339,,25.59404373,,,781.3004761,92.36746216,,19.51468086,,230.8790283,,328.977356,"9,95,300 ",,
05/02/16,,642.2053833,18.34331894,161.8651886,65.59604645,,1063.513428,,,,349.8264465,,24.62151909,,,771.3539429,87.42852783,,18.79600906,,216.4259491,,340.7698364,"9,99,800 ",,
12/02/16,,575.1769409,17.98408699,137.4321594,54.99565506,,951.2527466,,,,288.3238831,,21.16628265,,,714.0871582,77.02828217,,13.42572021,,197.8222046,,312.0577087,"9,61,294 ",,
19/02/16,,579.2805786,18.03433418,137.8080444,61.85187531,,957.3209839,,,,306.6270752,,21.91742134,,,717.5831909,75.27116394,,14.61034298,,195.3268585,,307.8627625,"9,62,486 ",,
26/02/16,,555.7070923,16.86506462,132.707016,58.01044846,,897.6990967,,,,275.7281799,,20.12259674,,,710.3447876,69.52490997,,16.51363564,,189.5209198,,295.604187,"9,48,996 ",,
04/03/16,,605.3057251,17.55498123,137.1228333,61.36561966,,973.3580933,,,,282.321228,,22.4392643,,,758.3544312,78.02557373,,14.973629,,204.5422516,,326.1341248,"9,72,329 ",,
11/03/16,,611.9760132,17.3372364,137.6457672,61.02524185,,967.5307617,,,,298.0658875,,22.0755558,,,765.7404785,79.68771362,,14.85516357,,191.225647,,321.3798523,"9,70,014 ",,
18/03/16,,635.3195801,17.55418396,131.1091919,63.26202774,,947.8815308,,,,325.4222412,,22.61321259,,,771.6494141,79.21281433,,15.4079895,,186.2844238,,337.227417,"9,72,051 ",,
25/03/16,,677.4606323,19.13022614,133.6947632,62.97026825,,943.0651245,,,,325.4222412,,24.45547867,,,751.6222534,83.33309174,,15.4079895,,184.3326111,,339.9774475,"9,77,401 ",,
01/04/16,,677.4606323,19.10629272,142.0615692,65.59604645,,981.6013184,,,,332.3104858,,24.12339783,,,753.5969238,88.70785522,,15.7396822,,182.0596619,,344.0791931,"9,84,469 ",,
08/04/16,,700.9749756,18.65326691,145.2862701,66.32543945,,984.8126221,,,,327.193512,,24.85081482,,,781.144043,89.43417358,,16.97958565,,232.6084442,,341.655426,"9,97,290 ",,
15/04/16,,730.8384399,19.01856041,146.7388611,66.47131348,,994.5440063,,,,351.6960754,,25.61776733,,,778.774353,88.8531189,,16.97958565,,246.987442,,374.9353943,"10,10,180 ",,
22/04/16,,687.0899658,18.63172913,147.4942017,67.29795837,,1044.17395,,,,359.076416,,26.40843773,,,798.5707397,91.7099762,,15.87394047,,244.121521,,384.5371704,"10,12,880 ",,
29/04/16,,673.0424194,18.86701965,150.1669312,67.88146973,,1021.305176,,,,348.0551453,,25.93403625,,,741.4030762,93.79209137,,16.02399063,,240.3414764,,378.5243835,"10,07,335 ",,
06/05/16,,714.7073975,18.19145775,154.7280121,68.12459564,,989.9215698,,,,329.1615601,,25.07220078,,,714.8433838,86.9162674,,15.80286407,,243.2568054,,372.6514587,"10,05,947 ",,
13/05/16,,750.0084839,18.30152893,167.394455,73.08441162,,1048.260864,,,,347.2679138,,26.97772026,,,736.7131958,93.21104431,,18.96185684,,253.1639709,,386.5880127,"10,25,496 ",,
20/05/16,,766.1691284,17.57173157,163.0367126,80.0865097,,1017.072144,,,,329.3583984,,27.05679131,,,740.366333,88.70785522,,19.15139389,,236.9567413,,386.4015503,"10,20,350 ",,
27/05/16,,755.4413452,18.87339783,167.8592834,78.8708725,,1054.343018,,,,356.9115295,,26.06845093,,,788.6973267,84.97941589,,18.8078537,,219.8600922,,403.927124,"10,25,878 ",,
03/06/16,,778.4436035,18.20501709,165.4189606,79.84337616,,1109.373901,,,,352.5325012,,24.53059196,,,771.3199463,80.57307434,,21.13760948,,216.0553284,,398.9398193,"10,26,636 ",,
10/06/16,,750.821167,20.17028236,165.070343,79.40575409,,1089.0354,,,,338.8051758,,24.94569588,,,797.4847412,82.84888458,,21.75756454,,228.4578247,,399.5923462,"10,28,295 ",,
17/06/16,,740.8519897,20.09371758,169.1665955,83.5389328,,1080.2771,,,,337.0338745,,25.36475182,,,792.8442383,84.93099213,,22.07346344,,244.096817,,399.8254089,"10,32,020 ",,
24/06/16,,746.7626343,19.96929169,162.6881104,79.84337616,,1072.005615,,,,346.9234924,,25.15522385,,,785.2908936,79.74991608,,21.31530571,,241.9968109,,389.8973694,"10,25,379 ",,
01/07/16,,803.3223267,20.27237511,160.8869171,86.65097809,,1103.38916,,,,381.5125427,,25.70473862,,,842.4586792,93.54998779,,21.33110046,,245.5791779,,414.0882568,"10,43,323 ",,
08/07/16,,806.7110596,20.05782318,172.5365601,88.9850235,,1091.760132,,,,385.9407349,,25.79566765,,,836.3864136,89.67628479,,22.52362061,,238.5873566,,403.8339233,"10,43,181 ",,
15/07/16,,855.6116333,20.01236343,181.844635,100.0230484,,1120.467651,,,,411.328949,,25.39242554,,,829.2281494,83.1394043,,23.61347198,,238.7108765,,422.8043823,"10,55,849 ",,
22/07/16,,878.3482666,19.74436951,191.8906097,99.53678131,,1171.119385,,,,405.0803223,,25.46753693,,,851.4435425,85.51205444,,27.57010841,,238.019104,,428.723938,"10,67,326 ",,
29/07/16,,1028.684326,19.71725273,193.3548126,100.5579224,,1167.469971,,,,446.2131958,,26.62191963,,,809.0861206,83.67204285,,35.7060585,,242.8368073,,442.1944275,"10,83,586 ",,
05/08/16,,1003.640747,20.07616425,196.4251099,98.50309753,,1153.116333,,,,451.1334229,,25.95380402,,,830.4129639,82.75203705,,32.84758377,,236.413208,,443.4529114,"10,80,724 ",,
12/08/16,,1006.799194,19.59521675,185.1424408,99.09382629,,1158.322632,,,,484.3185425,,25.72055054,,,833.4243774,82.50992584,,36.7583046,,230.631958,,470.2445984,"10,83,270 ",,
19/08/16,,1010.315063,19.66221619,203.0884552,100.964447,,1268.627563,,,,505.9297485,,24.57803345,,,817.4786987,88.80469513,,37.07729721,,229.7178345,,518.0975952,"11,06,149 ",,
26/08/16,,1041.039795,31.55889893,204.8462677,98.74923706,,1295.485962,,,,487.9865112,,24.06805038,,,828.388916,88.90154266,,34.79880142,,226.5554504,,536.9054565,"11,19,704 ",,
02/09/16,,1106.064697,31.66282082,211.1008148,122.3289413,,1279.575317,,,,473.562561,,23.54225349,,,819.5026855,86.2383728,,39.46763992,,221.4906921,,532.4772949,"11,27,472 ",,
09/09/16,,1144.516479,31.44589424,219.3175659,125.5286789,,1286.630371,,,,515.4961548,,26.15766907,,,816.8862305,88.61101532,,38.29525375,,214.4988556,,532.5724487,"11,34,110 ",,
16/09/16,,1079.610718,31.59787178,217.1509399,116.4216995,,1303.465698,,,,510.6882324,,26.1884079,,,847.3955078,85.80257416,,37.83541107,,210.5285339,,527.5252686,"11,27,289 ",,
