Date,AFFLE,BAJFINANCE,BEL,BERGEPAINT,BORORENEW,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DMART,FINEORG,GARFIBRES,HAPPSTMNDS,IONEXCHANG,KPITTECH,LAURUSLABS,MOLDTKPAC,NAUKRI,NEOGEN,POLYCAB,PRAJIND,PRINCEPIPE,RAJRATAN,RBA,RELAXO,SONACOMS,TATACHEM,Total
2021-04-12,1046.6500244140625,4493.85546875,40.18511199951172,599.8174438476562,223.75,1569.0078125,,3724.56005859375,3549.35400390625,2814.89990234375,2429.983642578125,2588.96435546875,619.9814453125,119.45942687988281,186.38424682617188,414.2439880371094,39.01316833496094,4721.21875,858.9652709960938,1331.274658203125,189.93917846679688,472.2813415527344,775.5069580078125,132.5500030517578,885.971435546875,,727.5254516601562,2837763.4944229126
2021-04-13,1091.3499755859375,4707.39794921875,41.40484619140625,597.6328735351562,236.64999389648438,1573.7193603515625,,3662.392333984375,3516.191650390625,2832.699951171875,2503.83984375,2686.858642578125,636.2325439453125,120.33493041992188,187.33035278320312,437.583740234375,38.535064697265625,4539.17041015625,929.3501586914062,1337.8919677734375,196.27047729492188,500.78668212890625,779.1336669921875,132.3000030517578,897.46142578125,,735.6197509765625,2875534.328956604
2021-04-15,1079.9000244140625,4640.5322265625,42.42678451538086,598.9931030273438,229.89999389648438,1594.84716796875,,3724.116943359375,3492.618896484375,2928.89990234375,2489.23828125,2614.78369140625,628.05712890625,119.10639953613281,185.88629150390625,434.29925537109375,38.152584075927734,4562.31201171875,902.7005004882812,1395.8680419921875,208.88363647460938,490.520751953125,768.849853515625,130.0500030517578,899.1525268554688,,725.0535278320312,2876881.9433288574
2021-04-16,1079.8299560546875,4597.0166015625,42.19601821899414,606.6598510742188,230.64999389648438,1573.173828125,,3764.233154296875,3727.450927734375,2919.89990234375,2489.587158203125,2597.0888671875,642.413818359375,117.41187286376953,190.91561889648438,444.0531921386719,37.91352844238281,4647.314453125,873.659912109375,1384.9542236328125,230.69696044921875,506.71697998046875,833.83154296875,131.25,885.573486328125,,730.6275024414062,2909048.203514099
2021-04-19,1059.97998046875,4459.1025390625,40.663116455078125,590.0074462890625,240.10000610351562,1543.41650390625,,3745.9716796875,3820.245361328125,2850.75,2517.694091796875,2612.24169921875,632.2943725585938,114.50293731689453,191.91152954101562,438.6785583496094,36.81389236450195,4675.3837890625,892.289794921875,1351.5711669921875,223.0301513671875,495.3547058105469,817.8841552734375,128.14999389648438,871.6959838867188,,709.4463500976562,2872042.1619873047
2021-04-20,1068.449951171875,4590.49462890625,40.959808349609375,585.0611572265625,236.75,1542.2757568359375,,3724.953857421875,3927.273193359375,2778.25,2476.579833984375,2597.338134765625,640.3699951171875,112.03646087646484,192.06092834472656,441.3161315917969,38.43944549560547,4746.251953125,869.8243408203125,1403.67041015625,211.90089416503906,506.2186279296875,817.933837890625,130.75,887.513427734375,,702.4182739257812,2878598.1675109863
2021-04-22,1065.260009765625,4671.84912109375,41.553192138671875,589.5128173828125,234.89999389648438,1585.7711181640625,,3695.912841796875,3935.813720703125,2717.60009765625,2548.642333984375,2539.61865234375,646.6510620117188,114.78535461425781,193.05682373046875,451.2193603515625,38.7263069152832,4803.4345703125,871.91650390625,1413.5966796875,217.6881103515625,500.8365173339844,839.7930908203125,132.39999389648438,898.5059814453125,,712.2091064453125,2901337.651664734
2021-04-23,1074.6400146484375,4645.36181640625,41.84988021850586,584.7313842773438,236.25,1614.933349609375,,3721.212890625,3887.01904296875,2713.699951171875,2535.734619140625,2539.867919921875,643.6600952148438,115.08660888671875,195.44700622558594,461.42120361328125,38.678497314453125,4854.943359375,864.9925537109375,1466.2884521484375,215.80850219726562,488.876220703125,835.272216796875,130.60000610351562,878.062744140625,,703.9208984375,2902273.919921875
2021-04-26,1125.9000244140625,4710.58447265625,42.62457275390625,595.4071044921875,233.5,1625.695556640625,,3724.412353515625,3891.4638671875,2808.25,2500.849853515625,2508.2666015625,641.9652099609375,116.84703063964844,197.53842163085938,462.9638977050781,43.5073356628418,4867.83349609375,858.5667724609375,1458.68359375,237.57235717773438,488.5273742675781,915.5553588867188,130.25,856.0775756835938,,711.23974609375,2944607.7414474487
2021-04-27,1132.469970703125,4852.830078125,42.59160614013672,587.575439453125,234.5,1772.10205078125,,3847.419189453125,4029.856201171875,2826.949951171875,2556.36669921875,2545.001708984375,646.4017944335938,117.36479949951172,196.64210510253906,465.153564453125,45.51536178588867,4921.48291015625,871.7670288085938,1522.9805908203125,232.6260223388672,487.9792175292969,1038.414306640625,131.14999389648438,857.6195068359375,,736.5891723632812,3024027.922515869
