id,SecurityName,Result Date
539276,KAYA,01-Feb-23
500252,LAXMIMACH,01-Feb-23
540768,MAHLOG,01-Feb-23
526301,MEDINOV,01-Feb-23
532864,NELCAST,01-Feb-23
500338,PRSMJOHNSN,01-Feb-23
532370,RAMCOSYS,01-Feb-23
500330,RAYMOND,01-Feb-23
530271,RICHUNV,01-Feb-23
517447,RSSOFTWARE,01-Feb-23
514280,SANTETX,01-Feb-23
500770,TATACHEM,01-Feb-23
522113,TIMKEN,01-Feb-23
543238,UTIAMC,01-Feb-23
533023,ZFCVINDIA,01-Feb-23
534742,ZUARI,01-Feb-23
532628,3IINFOTECH,02-Feb-23
541988,AAVAS,02-Feb-23
540691,ABCAPITAL,02-Feb-23
533758,APLAPOLLO,02-Feb-23
532888,ASIANTILES,02-Feb-23
509480,BERGEPAINT,02-Feb-23
539011,CHENFERRO,02-Feb-23
506395,COROMANDEL,02-Feb-23
539876,CROMPTON,02-Feb-23
500096,DABUR,02-Feb-23
500645,DEEPAKFERT,02-Feb-23
511716,ESCORTSFIN,02-Feb-23
533896,FERVENTSYN,02-Feb-23
532809,FSL,02-Feb-23
511676,GICHSGFIN,02-Feb-23
505255,GMM,02-Feb-23
533150,GODREJPROP,02-Feb-23
508486,HAWKINCOOK,02-Feb-23
500185,HCC,02-Feb-23
500010,HDFC,02-Feb-23
506024,HVL,02-Feb-23
532652,KTKBANK,02-Feb-23
532313,MAHLIFE,02-Feb-23
543223,MAXINDIA,02-Feb-23
533088,MHRIL,02-Feb-23
530117,PRIVISCL,02-Feb-23
509220,PTL,02-Feb-23
590051,SAKSOFT,02-Feb-23
540673,SIS,02-Feb-23
500800,TATACONSUM,02-Feb-23
531652,THIRDFIN,02-Feb-23
500413,THOMASCOOK,02-Feb-23
500414,TIMEX,02-Feb-23
500114,TITAN,02-Feb-23
542904,UJJIVANSFB,02-Feb-23
511110,VBDESAI,02-Feb-23
506042,ZPRBHSTE,02-Feb-23
523411,ADCINDIA,03-Feb-23
517041,ADORWELD,03-Feb-23
506390,CLNINDIA,03-Feb-23
535267,COMFINCAP,03-Feb-23
531162,EMAMILTD,03-Feb-23
532178,ENGINERSIN,03-Feb-23
538835,INTELLECT,03-Feb-23
500214,IONEXCHANG,03-Feb-23
500875,ITC,03-Feb-23
504840,KAIRA,03-Feb-23
500165,KANSAINER,03-Feb-23
504258,LAKSELEC,03-Feb-23
502958,LAKSHMIMIL,03-Feb-23
511593,LIBORDFIN,03-Feb-23
532720,M&MFIN,03-Feb-23
531213,MANAPPURAM,03-Feb-23
531642,MARICO,03-Feb-23
543427,MEDPLUS,03-Feb-23
502420,ORIENTPPR,03-Feb-23
531280,PANKAJPO,03-Feb-23
523598,SCI,03-Feb-23
542920,SUMICHEM,03-Feb-23
512527,SUPER,03-Feb-23
500400,TATAPOWER,03-Feb-23
539871,THYROCARE,03-Feb-23
530475,TINNARUBR,03-Feb-23
532515,TVTODAY,03-Feb-23
526881,63MOONS,04-Feb-23
504643,BWLLTD,04-Feb-23
533146,DLINKINDIA,04-Feb-23
524768,EMMESSA,04-Feb-23
521014,EUROTEXIND,04-Feb-23
542351,GLOSTERLTD,04-Feb-23
504084,KAYCEEI,04-Feb-23
534091,MCX,04-Feb-23
539785,PDMJEPAPER,04-Feb-23
516106,SHKARTP,04-Feb-23
532644,JKCEMENT,05-Feb-23
500126,PGHL,05-Feb-23
542721,ARL,06-Feb-23
514272,BHILSPIN,06-Feb-23
533167,COROENGG,06-Feb-23
543288,DEEPIND,06-Feb-23
543252,FAIRCHEMOR,06-Feb-23
517271,HBLPOWER,06-Feb-23
501151,KARTKIN,06-Feb-23
531870,POPULARES,06-Feb-23
543187,POWERINDIA,06-Feb-23
519091,TASTYBIT,06-Feb-23
500470,TATASTEEL,06-Feb-23
523301,TCPLPACK,06-Feb-23
